United States,San Diego,87126
Australia,Brisbane,69693
United States,New York,68636
Germany,Munich,61721
Australia,Sydney,60872
Japan,Osaka,59939
Canada,Quebec,50883
Germany,Berlin,50830
Japan,Kyoto,50030
Australia,Melbourne,49877
Japan,Tokyo,49603
China,Beijing,49173
Germany,Hamburg,47733
Canada,Toronto,46566
United States,Houston,42684
China,Chengdu,35754
China,Shanghai,34713
United States,San Franciso,34513
Canada,Vancouver,26505
Canada,Montreal,15119
China,NULL,996
Germany,NULL,858
Canada,NULL,520
United States,NULL,503
Japan,NULL,264
Germany,Expired card,188
China,K2qw,185
United States,United States,171
Australia,John Parker,160
Germany,NI9e,160
Germany,OaDB,156
Australia,Shaun Kringler,140
Germany,ZR6Z,139
Canada,AVsP,138
Canada,Canada,108
Canada,UPI,102
China,FYP6,97
Germany,Watermelon,93
China,Michael Smith,79
China,JPN-03042022-p0bs-103,64
Canada,Unsupported card type,56
United States,Utensils,48
Canada,Set of 10 Food Serving Scoops Medium,10
Canada,Box of Ensure Strawberry,10
